city_name,county_name,population_5_acs,city_fips,county_fips,st_cty_geoid,city_geoid,place_moe
"Altoona CDP, Washington",Wahkiakum County,46.0,01745,069,53069,5301745,30.0
"Banks Lake South CDP, Washington",Grant County,216.0,04125,025,53025,5304125,112.0
"Bay Center CDP, Washington",Pacific County,218.0,04615,049,53049,5304615,101.0
"Beverly CDP, Washington",Grant County,283.0,05770,025,53025,5305770,284.0
"Cascade Valley CDP, Washington",Grant County,3824.0,10455,025,53025,5310455,900.0
"Cathlamet town, Washington",Wahkiakum County,569.0,10635,069,53069,5310635,152.0
"Chinook CDP, Washington",Pacific County,557.0,12315,049,53049,5312315,296.0
"Coulee City town, Washington",Grant County,507.0,15080,025,53025,5315080,146.0
"Coulee Dam town, Washington",Grant County,1457.0,15115,025,53025,5315115,222.0
"Crescent Bar CDP, Washington",Grant County,212.0,15603,025,53025,5315603,88.0
"Deep River CDP, Washington",Wahkiakum County,197.0,17215,069,53069,5317215,84.0
"Desert Aire CDP, Washington",Grant County,2953.0,17617,025,53025,5317617,875.0
"East Cathlamet CDP, Washington",Wahkiakum County,667.0,19290,069,53069,5319290,224.0
"Electric City city, Washington",Grant County,800.0,21030,025,53025,5321030,233.0
"Ephrata city, Washington",Grant County,8493.0,22080,025,53025,5322080,37.0
"George city, Washington",Grant County,1136.0,26455,025,53025,5326455,378.0
"Grand Coulee city, Washington",Grant County,977.0,27855,025,53025,5327855,211.0
"Grays River CDP, Washington",Wahkiakum County,190.0,28450,069,53069,5328450,145.0
"Hartline town, Washington",Grant County,217.0,29920,025,53025,5329920,84.0
"Ilwaco city, Washington",Pacific County,1418.0,33000,049,53049,5333000,391.0
"Krupp town, Washington",Grant County,35.0,36395,025,53025,5336395,28.0
"Lakeview CDP, Washington",Grant County,1601.0,37926,025,53025,5337926,755.0
"Lebam CDP, Washington",Pacific County,343.0,38880,049,53049,5338880,121.0
"Long Beach city, Washington",Pacific County,1844.0,40070,049,53049,5340070,404.0
"Lower Elochoman CDP, Washington",Wahkiakum County,235.0,40570,069,53069,5340570,125.0
"Marine View CDP, Washington",Grant County,413.0,43552,025,53025,5343552,298.0
"Mattawa city, Washington",Grant County,3553.0,44165,025,53025,5344165,22.0
"Moses Lake city, Washington",Grant County,25594.0,47245,025,53025,5347245,63.0
"Moses Lake North CDP, Washington",Grant County,4693.0,47280,025,53025,5347280,668.0
"Naselle CDP, Washington",Pacific County,519.0,48015,049,53049,5348015,291.0
"Ocean Park CDP, Washington",Pacific County,1777.0,50535,049,53049,5350535,286.0
"Puget Island CDP, Washington",Wahkiakum County,1136.0,56555,069,53069,5356555,236.0
"Quincy city, Washington",Grant County,7922.0,57115,025,53025,5357115,42.0
"Raymond city, Washington",Pacific County,3160.0,57430,049,53049,5357430,16.0
"Rosburg CDP, Washington",Wahkiakum County,468.0,59845,069,53069,5359845,170.0
"Royal City city, Washington",Grant County,1615.0,60230,025,53025,5360230,498.0
"Schwana CDP, Washington",Grant County,352.0,61925,025,53025,5361925,269.0
"Skamokawa Valley CDP, Washington",Wahkiakum County,311.0,64755,069,53069,5364755,146.0
"Soap Lake city, Washington",Grant County,1286.0,65345,025,53025,5365345,409.0
"South Bend city, Washington",Pacific County,1856.0,65625,049,53049,5365625,295.0
"Sunland Estates CDP, Washington",Grant County,85.0,68557,025,53025,5368557,59.0
"Tokeland CDP, Washington",Pacific County,99.0,71680,049,53049,5371680,100.0
"Upper Elochoman CDP, Washington",Wahkiakum County,94.0,73580,069,53069,5373580,73.0
"Warden city, Washington",Grant County,2531.0,76160,025,53025,5376160,28.0
"Wheeler CDP, Washington",Grant County,223.0,78050,025,53025,5378050,314.0
"Willapa CDP, Washington",Pacific County,195.0,78995,049,53049,5378995,89.0
"Wilson Creek town, Washington",Grant County,183.0,79135,025,53025,5379135,66.0
