city_name,county_name,population_5_acs,city_fips,county_fips,st_cty_geoid,city_geoid,place_moe
Addy,Stevens,122,00380,065,53065,5300380,90
Bickleton,Klickitat,97,05980,039,53039,5305980,42
Bingen,Klickitat,865,06085,039,53039,5306085,268
Centerville,Klickitat,107,11090,039,53039,5311090,50
Centralia,Lewis,18457,11160,041,53041,5311160,25
Chehalis,Lewis,7536,11475,041,53041,5311475,30
Chewelah,Stevens,2552,12140,065,53065,5312140,17
Clayton,Stevens,220,12735,065,53065,5312735,166
Colville,Stevens,4979,14170,065,53065,5314170,22
Dallesport,Klickitat,1434,16550,039,53039,5316550,397
Fords Prairie,Lewis,1762,24565,041,53041,5324565,585
Glenwood,Klickitat,246,27225,039,53039,5327225,93
Goldendale,Klickitat,3458,27435,039,53039,5327435,14
Kettle Falls,Stevens,1703,35485,065,53065,5335485,322
Klickitat,Klickitat,456,36115,039,53039,5336115,170
Loon Lake,Stevens,927,40385,065,53065,5340385,253
Lyle,Klickitat,321,40735,039,53039,5340735,158
Marcus,Stevens,206,43395,065,53065,5343395,92
Maryhill,Klickitat,39,43885,039,53039,5343885,35
Mineral,Lewis,46,46090,041,53041,5346090,62
Morton,Lewis,1142,47175,041,53041,5347175,290
Mossyrock,Lewis,980,47315,041,53041,5347315,292
Napavine,Lewis,1705,47980,041,53041,5347980,309
Northport,Stevens,207,50045,065,53065,5350045,90
Onalaska,Lewis,657,51410,041,53041,5351410,302
Packwood,Lewis,118,52600,041,53041,5352600,127
Pe Ell,Lewis,520,53930,041,53041,5353930,166
Roosevelt,Klickitat,164,59705,039,53039,5359705,102
Springdale,Stevens,467,67210,065,53065,5367210,290
Suncrest,Stevens,5590,68460,065,53065,5368460,636
Toledo,Lewis,529,71785,041,53041,5371785,191
Trout Lake,Klickitat,888,72450,039,53039,5372450,295
Vader,Lewis,813,73780,041,53041,5373780,225
Valley,Stevens,93,73885,065,53065,5373885,79
White Salmon,Klickitat,2533,78330,039,53039,5378330,19
Winlock,Lewis,1951,79275,041,53041,5379275,406
Wishram,Klickitat,418,79485,039,53039,5379485,177
