city_name,county_name,population_5_acs,city_fips,county_fips,st_cty_geoid,city_geoid,place_moe
Airway Heights city,Spokane County,10766.0,00905,063,53063,5300905,77.0
Carson CDP,Skamania County,2553.0,10320,059,53059,5310320,467.0
Cashmere city,Chelan County,3263.0,10495,007,53007,5310495,29.0
Chelan city,Chelan County,4314.0,11615,007,53007,5311615,25.0
Chelan Falls CDP,Chelan County,141.0,11685,007,53007,5311685,105.0
Cheney city,Spokane County,12830.0,11825,063,53063,5311825,22.0
Country Homes CDP,Spokane County,5979.0,15150,063,53063,5315150,567.0
Deer Park city,Spokane County,4605.0,17320,063,53063,5317320,34.0
Entiat city,Chelan County,1151.0,22010,007,53007,5322010,230.0
Fairchild AFB CDP,Spokane County,3016.0,22955,063,53063,5322955,410.0
Fairfield town,Spokane County,607.0,22990,063,53063,5322990,190.0
Fairwood CDP (Spokane County),Spokane County,10439.0,23165,063,53063,5323165,936.0
Four Lakes CDP,Spokane County,489.0,25300,063,53063,5325300,309.0
Green Bluff CDP,Spokane County,238.0,28590,063,53063,5328590,141.0
Latah town,Spokane County,222.0,38495,063,53063,5338495,91.0
Leavenworth city,Chelan County,2676.0,38845,007,53007,5338845,475.0
Liberty Lake city,Spokane County,12435.0,39335,063,53063,5339335,23.0
Manson CDP,Chelan County,1595.0,42835,007,53007,5342835,459.0
Mead CDP,Spokane County,7184.0,44480,063,53063,5344480,862.0
Medical Lake city,Spokane County,4927.0,44690,063,53063,5344690,16.0
Millwood city,Spokane County,1880.0,45985,063,53063,5345985,226.0
North Bonneville city,Skamania County,1151.0,49555,059,53059,5349555,232.0
Otis Orchards-East Farms CDP,Spokane County,5486.0,52267,063,53063,5352267,584.0
Rockford town,Spokane County,407.0,59145,063,53063,5359145,103.0
South Wenatchee CDP,Chelan County,1083.0,66185,007,53007,5366185,345.0
Spangle city,Spokane County,280.0,66290,063,53063,5366290,97.0
Spokane city,Spokane County,229228.0,67000,063,53063,5367000,74.0
Spokane Valley city,Spokane County,105460.0,67167,063,53063,5367167,71.0
Stevenson city,Skamania County,1676.0,67875,059,53059,5367875,242.0
Sunnyslope CDP,Chelan County,3674.0,68785,007,53007,5368785,404.0
Town and Country CDP,Spokane County,5398.0,72170,063,53063,5372170,745.0
Waverly town,Spokane County,163.0,76720,063,53063,5376720,72.0
Wenatchee city,Chelan County,35502.0,77105,007,53007,5377105,49.0
