city_name,county_name,population_5_acs,city_fips,county_fips,st_cty_geoid,city_geoid,place_moe
Alder,Pierce County,77.0,01045,053,53053,5301045,93.0
Alderton,Pierce County,2857.0,01150,053,53053,5301150,588.0
Anatone,Asotin County,10.0,02025,003,53003,5302025,16.0
Anderson Island,Pierce County,1341.0,02060,053,53053,5302060,491.0
Artondale,Pierce County,14051.0,02910,053,53053,5302910,1369.0
Ashford,Pierce County,570.0,03005,053,53053,5303005,344.0
Asotin,Asotin County,1039.0,03075,003,53003,5303075,296.0
Auburn,Pierce County,85455.0,03180,053,53053,5303180,82.0
Bonney Lake,Pierce County,22776.0,07170,053,53053,5307170,35.0
Browns Point,Pierce County,998.0,08325,053,53053,5308325,194.0
Buckley,Pierce County,5306.0,08570,053,53053,5308570,15.0
Canterwood,Pierce County,2964.0,09810,053,53053,5309810,680.0
Carbonado,Pierce County,631.0,09970,053,53053,5309970,235.0
Clarkston,Asotin County,7240.0,12630,003,53003,5312630,34.0
Clarkston Heights-Vineland,Asotin County,7144.0,12680,003,53003,5312680,663.0
Clear Lake,Pierce County,1266.0,12820,053,53053,5312820,518.0
Clover Creek,Pierce County,7128.0,13215,053,53053,5313215,884.0
Crocker,Pierce County,1173.0,15780,053,53053,5315780,461.0
Dash Point,Pierce County,984.0,16760,053,53053,5316760,206.0
DuPont,Pierce County,9952.0,18965,053,53053,5318965,34.0
Eatonville,Pierce County,2843.0,20260,053,53053,5320260,26.0
Edgewood,Pierce County,12683.0,20645,053,53053,5320645,34.0
Elbe,Pierce County,0.0,20890,053,53053,5320890,13.0
Elk Plain,Pierce County,13863.0,21205,053,53053,5321205,1125.0
Enumclaw,Pierce County,12663.0,22045,053,53053,5322045,30.0
Fife,Pierce County,10902.0,23795,053,53053,5323795,50.0
Fife Heights,Pierce County,1508.0,23830,053,53053,5323830,241.0
Fircrest,Pierce County,7082.0,23970,053,53053,5323970,43.0
Fort Lewis,Pierce County,13983.0,24915,053,53053,5324915,1051.0
Fox Island,Pierce County,3365.0,25370,053,53053,5325370,382.0
Frederickson,Pierce County,24219.0,25475,053,53053,5325475,1626.0
Gig Harbor,Pierce County,12202.0,26735,053,53053,5326735,28.0
Graham,Pierce County,35090.0,27785,053,53053,5327785,2200.0
Greenwater,Pierce County,138.0,28695,053,53053,5328695,133.0
Hatton,Adams County,453.0,30060,001,53001,5330060,403.0
