city_name,county_name,population_5_acs,city_fips,county_fips,st_cty_geoid,city_geoid,place_moe
Bainbridge Island city,Kitsap County,24607.0,03736,035,53035,5303736,46.0
Bangor Base CDP,Kitsap County,5931.0,04100,035,53035,5304100,556.0
Bethel CDP,Kitsap County,4276.0,05735,035,53035,5305735,565.0
Bremerton city,Kitsap County,44531.0,07695,035,53035,5307695,52.0
Burley CDP,Kitsap County,2516.0,08885,035,53035,5308885,664.0
Chico CDP,Kitsap County,3016.0,12175,035,53035,5312175,544.0
East Port Orchard CDP,Kitsap County,5581.0,19770,035,53035,5319770,657.0
Enetai CDP,Kitsap County,2135.0,21800,035,53035,5321800,466.0
Erlands Point CDP,Kitsap County,874.0,22115,035,53035,5322115,260.0
Gorst CDP,Kitsap County,405.0,27680,035,53035,5327680,256.0
Hansville CDP,Kitsap County,3533.0,29430,035,53035,5329430,682.0
Indianola CDP,Kitsap County,3517.0,33280,035,53035,5333280,186.0
Keyport CDP,Kitsap County,272.0,35625,035,53035,5335625,112.0
Kingston CDP,Kitsap County,2585.0,35870,035,53035,5335870,567.0
Kitsap Lake CDP,Kitsap County,1879.0,36010,035,53035,5336010,358.0
Lofall CDP,Kitsap County,2018.0,39930,035,53035,5339930,417.0
Manchester CDP,Kitsap County,6018.0,42450,035,53035,5342450,697.0
Navy Yard City CDP,Kitsap County,2542.0,48225,035,53035,5348225,613.0
Parkwood CDP,Kitsap County,6976.0,53440,035,53035,5353440,833.0
Port Gamble Tribal Community CDP,Kitsap County,614.0,55612,035,53035,5355612,172.0
Port Orchard city,Kitsap County,16398.0,55785,035,53035,5355785,37.0
Poulsbo city,Kitsap County,11962.0,55995,035,53035,5355995,71.0
Rocky Point CDP,Kitsap County,1648.0,59390,035,53035,5359390,320.0
Seabeck CDP,Kitsap County,773.0,62120,035,53035,5362120,195.0
Silverdale CDP,Kitsap County,21046.0,64365,035,53035,5364365,1255.0
Southworth CDP,Kitsap County,2109.0,66220,035,53035,5366220,407.0
Suquamish CDP,Kitsap County,4515.0,69170,035,53035,5369170,351.0
Tracyton CDP,Kitsap County,5658.0,72205,035,53035,5372205,691.0
Almira town,Lincoln County,365.0,01500,043,53043,5301500,140.0
Creston town,Dakota County,196.0,15710,043,53043,5315710,65.0
Creston town,Lincoln County,196.0,15710,043,53043,5315710,65.0
Davenport city,Lincoln County,1819.0,16795,043,53043,5316795,237.0
Harrington city,Lincoln County,446.0,29745,043,53043,5329745,125.0
Odessa town,Lincoln County,745.0,50745,043,53043,5350745,105.0
Reardan town,Fremont County,707.0,57465,043,53043,5357465,191.0
Reardan town,Lincoln County,707.0,57465,043,53043,5357465,191.0
Sprague city,Lincoln County,619.0,67175,043,53043,5367175,134.0
Wilbur town,Lincoln County,922.0,78680,043,53043,5378680,235.0
Friday Harbor town,San Juan County,2685.0,25615,055,53055,5325615,32.0
Roche Harbor CDP,San Juan County,700.0,59075,055,53055,5359075,101.0
