city_name,county_name,population_5_acs,city_fips,county_fips,st_cty_geoid,city_geoid,place_moe
Ahtanum CDP,Yakima County,3570.0,00800,077,53077,5300800,746.0
Allyn CDP,Mason County,2656.0,01430,045,53045,5301430,567.0
Belfair CDP,Mason County,4601.0,05140,045,53045,5305140,785.0
Buena CDP,Yakima County,674.0,08640,077,53077,5308640,488.0
Cliffdell CDP,Yakima County,29.0,13015,077,53077,5313015,22.0
Cowiche CDP,Yakima County,449.0,15325,077,53077,5315325,260.0
Donald CDP,Yakima County,127.0,18265,077,53077,5318265,150.0
Eschbach CDP,Yakima County,235.0,22150,077,53077,5322150,147.0
Gleed CDP,Yakima County,3130.0,26945,077,53077,5326945,753.0
Grandview city,Yakima County,11042.0,27925,077,53077,5327925,30.0
Granger city,Yakima County,3658.0,27960,077,53077,5327960,16.0
Grapeview CDP,Mason County,874.0,28135,045,53045,5328135,246.0
Harrah town,Yakima County,663.0,29710,077,53077,5329710,116.0
Hoodsport CDP,Mason County,136.0,32125,045,53045,5332125,116.0
Mabton city,Yakima County,2481.0,40980,077,53077,5340980,506.0
Moxee city,Yakima County,4545.0,47665,077,53077,5347665,36.0
Naches town,Yakima County,895.0,47805,077,53077,5347805,185.0
Nile CDP,Yakima County,247.0,49030,077,53077,5349030,169.0
Outlook CDP,Yakima County,504.0,52285,077,53077,5352285,335.0
Parker CDP,Yakima County,90.0,53265,077,53077,5353265,77.0
Pataha CDP,Garfield County,108.0,53660,023,53023,5353660,76.0
Pomeroy city,Garfield County,1423.0,55120,023,53023,5355120,171.0
Selah city,Yakima County,8301.0,63280,077,53077,5363280,42.0
Shelton city,Mason County,10619.0,63735,045,53045,5363735,37.0
Skokomish CDP,Mason County,558.0,64775,045,53045,5364775,126.0
Summitview CDP,Yakima County,2031.0,68417,077,53077,5368417,673.0
Sunnyside city,Yakima County,16329.0,68750,077,53077,5368750,36.0
Tampico CDP,Yakima County,514.0,70245,077,53077,5370245,388.0
Terrace Heights CDP,Yakima County,9480.0,70805,077,53077,5370805,892.0
Tieton city,Yakima County,1911.0,71400,077,53077,5371400,540.0
Toppenish city,Yakima County,8746.0,71960,077,53077,5371960,39.0
Union CDP,Mason County,281.0,73255,045,53045,5373255,196.0
Union Gap city,Yakima County,6511.0,73290,077,53077,5373290,27.0
Wapato city,Yakima County,4577.0,76125,077,53077,5376125,53.0
White Swan CDP,Yakima County,598.0,78365,077,53077,5378365,190.0
Yakima city,Yakima County,96810.0,80010,077,53077,5380010,60.0
Zillah city,Yakima County,3163.0,80500,077,53077,5380500,41.0
