city_name,county_name,population_5_acs,city_fips,county_fips,st_cty_geoid,city_geoid,place_moe
Amboy CDP,Clark County,1545.0,01850,011,53011,5301101850,508.0
Barberton CDP,Clark County,8213.0,04195,011,53011,5301104195,827.0
Basin City CDP,Franklin County,1527.0,04405,021,53021,5302104405,619.0
Battle Ground city,Clark County,21293.0,04475,011,53011,5301104475,31.0
Brush Prairie CDP,Clark County,2563.0,08465,011,53011,5301108465,526.0
Camas city,Clark County,26779.0,09480,011,53011,5301109480,47.0
Cherry Grove CDP,Clark County,729.0,12015,011,53011,5301112015,444.0
Cle Elum city,Kittitas County,2078.0,12945,037,53037,5303712945,367.0
Connell city,Franklin County,5080.0,14485,021,53021,5302114485,16.0
Dollars Corner CDP,Clark County,510.0,18198,011,53011,5301118198,250.0
Duluth CDP,Clark County,2040.0,18775,011,53011,5301118775,644.0
Easton CDP,Kittitas County,1046.0,19700,037,53037,5303719700,140.0
Ellensburg city,Kittitas County,18913.0,21240,037,53037,5303721240,25.0
Felida CDP,Clark County,10695.0,23550,011,53011,5301123550,1342.0
Fern Prairie CDP,Clark County,2132.0,23690,011,53011,5301123690,573.0
Five Corners CDP,Clark County,21444.0,24188,011,53011,5301124188,1232.0
Hazel Dell CDP,Clark County,23086.0,30305,011,53011,5301130305,1506.0
Hockinson CDP,Clark County,5993.0,31530,011,53011,5301131530,1157.0
Kahlotus city,Franklin County,171.0,34575,021,53021,5302134575,86.0
Kittitas city,Kittitas County,1186.0,36045,037,53037,5303736045,284.0
La Center city,Clark County,3885.0,36710,011,53011,5301136710,21.0
Lake Shore CDP,Clark County,6601.0,37830,011,53011,5301137830,972.0
Lewisville CDP,Clark County,2372.0,39212,011,53011,5301139212,518.0
Meadow Glade CDP,Clark County,2534.0,44620,011,53011,5301144620,362.0
Mesa city,Franklin County,631.0,45180,021,53021,5302145180,531.0
Minnehaha CDP,Clark County,12080.0,46125,011,53011,5301146125,1275.0
Mount Vista CDP,Clark County,10635.0,47630,011,53011,5301147630,786.0
Orchards CDP,Clark County,29716.0,51795,011,53011,5301151795,1971.0
Pasco city,Franklin County,78446.0,53545,021,53021,5302153545,47.0
Ridgefield city,Clark County,12576.0,58410,011,53011,5301158410,26.0
Ronald CDP,Kittitas County,248.0,59635,037,53037,5303759635,231.0
Roslyn city,Kittitas County,884.0,60055,037,53037,5303760055,211.0
Salmon Creek CDP,Clark County,19594.0,61000,011,53011,5301161000,1090.0
Snoqualmie Pass CDP,Kittitas County,354.0,65275,037,53037,5303765275,155.0
South Cle Elum town,Kittitas County,707.0,65765,037,53037,5303765765,209.0
Thorp CDP,Kittitas County,129.0,71225,037,53037,5303771225,85.0
Vancouver city,Clark County,192696.0,74060,011,53011,5301174060,110.0
Vantage CDP,Kittitas County,0.0,74200,037,53037,5303774200,13.0
Venersborg CDP,Clark County,4827.0,74585,011,53011,5301174585,642.0
Washougal city,Clark County,16945.0,76405,011,53011,5301176405,34.0
West Pasco CDP,Franklin County,1157.0,77612,021,53021,5302177612,490.0
Woodland city,Clark County,6513.0,79625,011,53011,5301179625,88.0
Yacolt town,Clark County,1628.0,79975,011,53011,5301179975,355.0
